"","WholeOvary_Ctrl_Early_1","WholeOvary_Ctrl_Early_2","WholeOvary_Ctrl_Early_3","WholeOvary_Ctrl_Mid_1","WholeOvary_Ctrl_Mid_2","WholeOvary_Ctrl_Mid_3"
"FBgn0000003",138.5,118.5,90.5,94,200,192.5
"FBgn0000008",171,140,374,181,101,93
"FBgn0000014",9278,10795,23602,15644,8643,10604.29
"FBgn0000015",466,544,1288,294,165,162
"FBgn0000017",1179,1325.84,2490.53,2354,1187,1541.68
"FBgn0000018",422,474,730,535,455,436
"FBgn0000022",0,1,0,1,0,1
"FBgn0000024",177,178,331,186,112,148
"FBgn0000028",21,14,36,17,13,7
"FBgn0000032",567,659,1630,1124,650,772
"FBgn0000036",7,4,6,53,19,30
"FBgn0000037",8,12,12,6,5,3
"FBgn0000038",1,12,6,5,5,1
"FBgn0000039",2,10,0,3,0,8
"FBgn0000042",80540.75,94802.5,115362.11,137326.97,93074.06,104584.17
"FBgn0000043",14027.33,17955.18,16102.46,25377.03,18533.75,21446.92
"FBgn0000044",1948.04,9576.03,19026.26,1450.9,5008.66,1828.29
"FBgn0000045",10,12,10,2,8,2
"FBgn0000046",348.88,386.27,658.16,1281.09,757.52,916.57
"FBgn0000047",5,2.01,4,1,2.01,6.05
"FBgn0000052",5686.64,5252,6594.29,5100.84,4346.43,4018.81
"FBgn0000053",3042.07,2566.19,2478,3661.78,2577.31,3032
"FBgn0000055",28203.71,17755,7324.54,3680,8033.19,5192.17
"FBgn0000056",20.29,8,42.46,3,7.81,12.83
"FBgn0000057",865,842,906,908,627,636
"FBgn0000061",0,4,0,0,0,0
"FBgn0000063",533.32,613.36,1132.43,812.49,539.09,582.22
"FBgn0000064",12820.84,12603.84,9485,5458,7803.89,4830
"FBgn0000071",294,358,349,5340.8,1944.92,4434.93
"FBgn0000075",502,528,566,653,524,677
"FBgn0000077",70,62,113,106,61,81
"FBgn0000078",6.66,8.99,0,250.85,336.98,61.42
"FBgn0000079",3.34,3.01,19,151.15,155.02,46.58
"FBgn0000083",5275.03,6729.86,7449.88,7901.86,7292.99,8135
"FBgn0000084",528,633.87,762,751.18,755.86,723.35
"FBgn0000092",16,8,24,8,7,6
"FBgn0000097",2613.61,2406.77,7700.93,3011.09,1456.41,1984.8
"FBgn0000100",55135,56563,32856,55760,51094,63026
"FBgn0000108",184,262,707,277,152,99
"FBgn0000109",250,224,164,116,131,114
"FBgn0000114",2946,2889,4687,3268,2016,2231
"FBgn0000115",883,984,848,1228,1135,1160
"FBgn0000116",17769,22061,25118,31539,22939,27000
"FBgn0000117",16996.92,19073.82,28178.82,26441.22,18525.7,23642.71
"FBgn0000119",1569,1458,3959,2878,1445,1763
"FBgn0000120",2,0,9,1,0,0
"FBgn0000121",0,0,0,0,1,0
"FBgn0000137",1,3,0,1,4,0
"FBgn0000139",984,956,1002,1285,803,1045
"FBgn0000140",1747,2196,5289,3298,1848,2201
"FBgn0000146",3224.93,3583.78,6058.73,3873.77,2275.89,2886.9
"FBgn0000147",795.58,838.77,910.63,1069.66,870.99,894.88
"FBgn0000150",56666,53315,25894,61591,62306,70377
"FBgn0000152",451.38,564.36,1259.71,668.03,483.49,493.01
"FBgn0000153",25,28,44,38,20,29
"FBgn0000157",14,3,11,1,2,0
"FBgn0000158",41,51,41,36,18,63.97
"FBgn0000163",2406,2169,4694,2763,1602,2067
"FBgn0000166",119.06,149.28,368.26,128.88,80.47,93
"FBgn0000173",4146,4857,6087,6596,4658,5713
"FBgn0000179",6,16,17,16,2,0
"FBgn0000180",553,531,1196,1461.92,922.96,1127.99
"FBgn0000181",28923,27248,17364,33960,28414,32548
"FBgn0000182",25.71,28.37,58,21.05,11,10.02
"FBgn0000183",2150,2001,4839,2844,1507,1805
"FBgn0000206",0,0,0,0,0,0
"FBgn0000212",3091,3505,6660,5728,2845,3711
"FBgn0000216",0,1,0,1,2,2
"FBgn0000221",128,155,221,184,120,139
"FBgn0000227",0,0,0,0,0,0
"FBgn0000228",675,826,1387,1082,705,755
"FBgn0000229",1369,1348,1879,1875,1479,1647
"FBgn0000233",3,0,0,0,3,0
"FBgn0000239",4503.9,4515.03,7686.54,4929.67,3565.86,3752.32
"FBgn0000241",34.91,21.92,90.15,14.61,20.34,30.93
"FBgn0000244",1299,1284,2851,1385,878,1105
"FBgn0000246",1321,1589,3381,1604,1081,1303
"FBgn0000247",1623.3,1725.93,3896.55,2327.02,1293.32,1332.88
"FBgn0000250",1981.09,1834.2,2101,2156.61,1353.5,1998.39
"FBgn0000251",12,7,26,7,14,5
"FBgn0000253",13207.7,17036.34,21533.59,17440.65,12674.24,16361.88
"FBgn0000256",107,130,146,42,104,48
"FBgn0000257",606,549,583,766,524,644
"FBgn0000259",4010,4209,7638,5411,3727,4494
"FBgn0000261",2604,2670,2545,4004,3413,3932
"FBgn0000273",2543,2861,6442,4182,2249,2535
"FBgn0000274",2,1,0,3,0,0
"FBgn0000276",6.16,4,0,5,78.44,28.45
"FBgn0000277",5.84,0,0,1,19.56,2.55
"FBgn0000278",23,0,0,4,55,19
"FBgn0000279",104,6,6,16,246,74
"FBgn0000281",1,0,0,0,0,0
"FBgn0000283",3178.83,3800.72,6811.09,5013.9,2912.68,3232.68
"FBgn0000286",339,495,847,547,348,361
"FBgn0000287",2,7,0,5,13,0
"FBgn0000289",3234,3311,5864,4124,2547,3002
"FBgn0000299",362349,320883,273816,37159,94332,34547
"FBgn0000303",0,11,25,7,4,8
"FBgn0000307",2208.76,2072.7,5246.53,3136,1486.1,1682.5
"FBgn0000308",14501,15207,17356,20282,15240,17679
"FBgn0000316",1601,1698.42,3037.14,2225.34,1691.24,1845.67
"FBgn0000317",1476,1355,3378,1834,993,1142
"FBgn0000318",1539.55,1710.18,1055.51,1820.6,2099.54,2079.25
"FBgn0000319",19805,22354,46725,28918,18192,21811
"FBgn0000320",44,74,79,112,88,98
"FBgn0000326",760,834,1149,840,751,674
"FBgn0000330",489,565,731,690,533,632
"FBgn0000337",53.65,45.12,128.2,49.86,10.99,15.89
"FBgn0000339",1313,1310,982,1726,1427,1560
"FBgn0000346",311,397,611.21,645,512,594
"FBgn0000351",93.77,119.95,169.6,149.63,112.28,107.59
"FBgn0000352",1568,1902,2841,2247,1419,1591
"FBgn0000355",1,12,0,2,9,3
"FBgn0000357",40,28,17,37,22,17
"FBgn0000358",0,0,0,0,0,0
"FBgn0000359",8,14,13,5,5,4
"FBgn0000360",10,11,15,6,7,3
"FBgn0000370",9420.5,9161.18,10155.37,12661.29,10663.26,12962.76
"FBgn0000376",857.03,797.72,1550.27,989.06,661.71,727.4
"FBgn0000377",1715,1992,3098,2264,1630,1839
"FBgn0000382",1345,1124,2217,1551,796,817
"FBgn0000384",709,899,2619,1387.82,878,1002
"FBgn0000392",387.55,428.31,578.51,510.97,320.93,364.08
"FBgn0000394",512.8,480.12,862.03,544.9,458.43,476.38
"FBgn0000395",1037,959,2267,940,525,891
"FBgn0000404",5001,5919,11302,8015,4684,5789
"FBgn0000405",4751,5802,10766,8560,4779,6114
"FBgn0000406",5767,3509,2333,1921,3005,2001
"FBgn0000411",1,6,0,1,2,0
"FBgn0000412",11792,13954,16321,18178,12531,16362
"FBgn0000414",1496,1313,3186,2108,1018,1162
"FBgn0000416",24910,28063,51530,25882,20303,18746
"FBgn0000422",10.08,22,52.74,4.06,4,4
"FBgn0000426",1456,1309,912,1455,1359,1547
"FBgn0000427",3252.23,3295.83,6672.01,5226.36,2913.04,4199.44
"FBgn0000439",0,0,0,0,0,0
"FBgn0000442",6,41.44,7.95,7.87,8,9
"FBgn0000447",2104.6,2223.29,1671.12,2929.09,2293.96,2697.54
"FBgn0000448",46.71,63.89,77.09,15.6,7.52,2.5
"FBgn0000449",1.08,0,0,0,0,2.18
"FBgn0000451",7,162,118,2,0,0
"FBgn0000454",3794,3962,3165,4902,4241,4744
"FBgn0000455",1416,1643,1652,1738,1572,1560
"FBgn0000459",10,17,45,18,5,7
"FBgn0000463",346,648,1294,2285,962,1474
"FBgn0000464",1362,1348,3577.08,1988.87,954.77,1110
"FBgn0000473",15,6,6,1,10,3
"FBgn0000477",2963,3026,3099,788,1761,1019
"FBgn0000479",871,944,2453,1380,713,801
"FBgn0000482",847,948,1573,1351,856,1052
"FBgn0000489",20,18,27,12,6,1
"FBgn0000490",384,446,743,196,337,141
"FBgn0000492",20,15,26,5,17,7
"FBgn0000499",1102,997,1546,1573,868,1076
"FBgn0000500",0,0,0,0,0,3
"FBgn0000504",5765.71,6084.05,13031.41,7963.92,4608.65,5925.64
"FBgn0000520",488,552,541,588,474,556
"FBgn0000524",955,969,1930,1526,889,988
"FBgn0000527",8,3,135,1,1,3
"FBgn0000529",0,0,2,5,0,0
"FBgn0000533",371,353,233,410,331,391
"FBgn0000535",45,58,236,17,30,14
"FBgn0000536",1047,1048,1793,867,704,600
"FBgn0000541",6057,6894,17386,9463,5011,5423
"FBgn0000542",545.76,535.67,1169.45,416.87,277.7,316.02
"FBgn0000543",1220,1318,1480,1699,1297,1599
"FBgn0000546",984,909,1971,2367,1083,1529
"FBgn0000547",1232.13,1395.25,2936.69,1424.18,783.32,841.58
"FBgn0000551",0,4,4,1,0,0
"FBgn0000552",0,0,0,0,0,0
"FBgn0000557",107,89,84,63,37,24
"FBgn0000559",209524,213638,197068,215084,174726,199170
"FBgn0000560",0,2,0,0,0,0
"FBgn0000562",1197,1198,1975,1542,888,994
"FBgn0000564",4,0,0,0,0,0
"FBgn0000565",406,587,771,555,423,523
"FBgn0000566",3105,3108,2693,3090,3010,2798
"FBgn0000567",538,305,777,1235,721,702
"FBgn0000568",1310,1102,1873,1227,763,873
"FBgn0000575",1885,2295,3315,3250,2205,3130
"FBgn0000576",100,126,362,52,109,67
"FBgn0000577",11,16,0,96,36,54
"FBgn0000578",2383,2338,5391,3825,1812,2560
"FBgn0000579",29875.54,29754.03,23508.16,18402.7,19824.49,16646.61
"FBgn0000581",4156,3951,7991,5320,2811,2966
"FBgn0000588",832,844,957,1018,760,882
"FBgn0000591",2,2,6,3,0,3
"FBgn0000592",4022,3611,2339,453,1392,512
"FBgn0000594",19.81,10.62,315,0,21.01,11.95
"FBgn0000606",0,0,0,1,0,0
"FBgn0000611",1343,1674,3613,2434,1613,1803
"FBgn0000615",623.05,547.08,789.88,640.96,453.18,461.29
"FBgn0000617",449,395,509,578,482,510
"FBgn0000618",413,431,222,588,817,791
"FBgn0000625",8,7,1,9,10,10
"FBgn0000629",1366,1392,3042,1982,1098,1392
"FBgn0000633",24,44,100,19,14,18
"FBgn0000635",48061,57030,108051,76228,41931,56722
"FBgn0000636",504,531,608,1260,650,945
"FBgn0000639",8,7,13,5871,636,19464
"FBgn0000640",9,6,75,6496,5759,9286
"FBgn0000644",4,17,13,22,14,22
"FBgn0000658",602,472,704,733,326,723
"FBgn0000659",3,59,55,6,4,7
"FBgn0000662",2036,2039,2757,2521,1464,2102
"FBgn0000667",6040.81,6164.72,9904.91,8043.76,5520.85,6856.57
"FBgn0000709",1368,1273,2660,1669,1009,1114
"FBgn0000711",1460,1493,4249,2091,1188,1469
"FBgn0000715",2,7,0,2,3,0
"FBgn0000719",877,822,1927,1712,709,1219
"FBgn0000721",4130,3404,5373,2546,1730,2051
"FBgn0000723",1129.19,914.9,1948.53,543.09,451.26,456.19
"FBgn0000808",50,55,115,58,44,33
"FBgn0000810",522,651,1886,882,445,592
"FBgn0000826",233,266,161,305,340,249
"FBgn0000927",213,156,362,194,131,168
"FBgn0000928",3010,3574,7253,4548,2910,3623
"FBgn0000964",6470,8577,14230,9294,5908,6700
"FBgn0000996",1306.1,1562.04,2676.63,1968.36,1352.67,1592.53
"FBgn0001075",200,217,378,516,166,282
"FBgn0001078",2068.41,2207,4609.65,2248.74,1138,1326.73
"FBgn0001079",1225.38,1086.35,2386,1718.3,910.81,1165.76
"FBgn0001083",5,34,20,2,4,5
"FBgn0001084",118.26,118.51,133.99,138.16,101.04,105.97
"FBgn0001085",1130,1217,2415,2181,972,1561
"FBgn0001086",3584.91,3854.8,5632,4782.39,3368.5,3958.61
"FBgn0001087",1145,1231,2682,1741,1172,1391
"FBgn0001089",30.84,44.56,131.02,72.43,123.4,43.31
"FBgn0001090",11391,12274,17248,9742,7058,7121
"FBgn0001091",20766.91,21504.33,9912.5,9332.93,13217.4,10548
"FBgn0001092",18787.09,23981.67,39783.5,22063.07,19320.6,20066
"FBgn0001098",24081,23835,29505,32632,25484,27971
"FBgn0001099",124,89.64,108,133,116,79
"FBgn0001104",2178,2576,4614,3675,2436,2797
"FBgn0001105",10500,12636,21211,15595,10749,12254
"FBgn0001108",1854,1879,2875,2378,1581,1844
"FBgn0001112",15,29,36,31,17,6
"FBgn0001114",57189,49326,33594,5469,14319,5904
"FBgn0001120",314,366,470,376,336,344
"FBgn0001122",945,996,2899,1585,921,1116
"FBgn0001123",1258,1660,2914,2253,1527,1864
"FBgn0001124",2721,2792,3363,3343,2672,2887
"FBgn0001125",8692,7760,4660,3725,5803,4233
"FBgn0001128",26135.04,19287.78,10678.74,2245.96,4843.98,2294.95
"FBgn0001133",499,569,475,665,527,504
"FBgn0001134",21.38,23.15,43,68.47,13.83,50.82
"FBgn0001137",189.3,121.55,328.09,175.66,119.37,173.32
"FBgn0001138",3,3,17,3,4,0
"FBgn0001139",6981.03,7238.36,10204.82,9280.52,5521.08,6547.46
"FBgn0001142",956,1155,1215,280,576,311
"FBgn0001145",292,545,917,24,236,36
"FBgn0001147",0,0,0,3,0,0
"FBgn0001148",0,0,0,0,0,0
"FBgn0001149",3067,3164,1514,5452,8749,7584
"FBgn0001150",23,17,21,14,8,12
"FBgn0001168",322,328,716,426,378,333
"FBgn0001169",1703,1687,4230,2358,1259,1489
"FBgn0001170",4,6,0,4,6,0
"FBgn0001174",0,0,0,0,0,0
"FBgn0001179",1133,1278,2122,1674,1135,1289
"FBgn0001180",0,2,0,2,0,1
"FBgn0001185",528,605,915,765,489,553
"FBgn0001186",5127,4540,5314,3450,2236,2934
"FBgn0001187",5290,4135,1637,97,368,90
"FBgn0001189",1376.82,1402.08,2378.95,1776.55,1318.84,1305.68
"FBgn0001197",6373,7234,6003,8856,7260,8751
"FBgn0001202",434,498,470,599,424,483
"FBgn0001206",724,641,1243,872,556,597
"FBgn0001208",1288,1641,1264,1033,2562,1426
"FBgn0001215",5804,5805,10192,8621,5300,6205
"FBgn0001216",3,6,21,2,6,1
"FBgn0001217",5,1,0,6,7,0
"FBgn0001218",32107,28612,37905,23949,20085,21701
"FBgn0001220",20071,16984,22418,12289,9840,8736
"FBgn0001222",1401,1534,3562,2115,1207,1615
"FBgn0001223",1265.07,1830.01,1607.16,1358.14,775,752.04
"FBgn0001224",8654,10171,7632,16626,9262,12698
"FBgn0001225",9724,10700,8574,10565,7261,8162
"FBgn0001226",12188,13575,9588.26,16400,9970,13380
"FBgn0001227",540.97,698.18,748.93,2208.04,1024.63,1700.48
"FBgn0001228",30.93,73.99,21.84,51.86,39,19.96
"FBgn0001229",1007,1119,1648,1296,704,741
"FBgn0001230",11602,19004,15106,16377,9265,8892
"FBgn0001233",115207,121328,210085,157771,90167,116288
"FBgn0001234",2984,3292,5653,3211,2644,2162
"FBgn0001235",1000,1608,3638,2035,1018,1307
"FBgn0001247",2374,2553,4619.95,2721.97,1898.98,1930
"FBgn0001248",25551,18933,15212,16333,13083,15445
"FBgn0001250",1850,2236,4641,2216,1494,1528
"FBgn0001253",22,24,102,327,80,225
"FBgn0001254",4,13,0,0,0,3
"FBgn0001255",27,34,35,32,36,32
"FBgn0001256",19,448,59,18,9,7
"FBgn0001257",2663,2421,2877,3951,2239,3354
"FBgn0001258",108,235,131,81,166,128
"FBgn0001259",58,16,108,27,19,18
"FBgn0001263",32,43,126,40,20,45
"FBgn0001269",62,69,135,313,149,256
"FBgn0001276",129,123,203,187,168,150
"FBgn0001280",823,955.98,701,1415.99,1008,1241.97
"FBgn0001281",0,2.02,0,1.01,0,3.03
"FBgn0001285",0,5,0,1,0,0
"FBgn0001291",964,993,2040,1581,899,1221
"FBgn0001296",216,211,280,325,308,246
"FBgn0001297",2431,2115,4664,2981,1827,3199
"FBgn0001301",1600,1661,3754,2280,1292,1449
"FBgn0001308",3320,3651,5761,4205,3251,3483
"FBgn0001311",42,90,108,29,13,13
"FBgn0001316",5746,5122,12808,7846,4119,5608
"FBgn0001319",0,5,0,3,5,0
"FBgn0001320",2,2,10,0,0,0
"FBgn0001321",9.24,30.04,43.13,17,5,24.65
"FBgn0001323",0,2,23,0,1,2
"FBgn0001324",2500,2662,5340,3698,2038,2262
"FBgn0001325",115,42,84,54,103,68
"FBgn0001330",741,800,1614.55,857,602,687
"FBgn0001341",1643,1862,2734,2034,1644,1631
"FBgn0001404",1011,1082,2000,1427,1037,871
"FBgn0001491",1338,1445,1480,1596,1225,1534
"FBgn0001565",2846,2655,2782,2901,2111,2579
"FBgn0001612",1361.42,1775.65,3421.91,2538.32,1559.14,1863.66
"FBgn0001624",3940,4205,11144,5298,3019,3591
"FBgn0001941",1644,1728,2533,2156,1939,1784
"FBgn0001942",45656,49673,82986,60560,44476,57459
"FBgn0001961",3318,3538,3900,3771,3338,3234
"FBgn0001965",1744,1700,3599,2565,1364,1479
"FBgn0001967",7,9,0,7,0,7
"FBgn0001970",74.86,44.91,50.97,89.83,44.91,132.57
"FBgn0001977",1141.73,1252.38,2081,1688,1419.36,1589.52
"FBgn0001978",2175,2211,3523,2485,1979,2058
"FBgn0001983",1,7,19,4,1,1
"FBgn0001986",2671,2554,3746,3031,2134,2480
"FBgn0001987",498,494,1177,351,436,336
"FBgn0001989",1918,2051,1882,1948,1873,2090
"FBgn0001990",518,490.08,1064,559.52,366,456
"FBgn0001991",5,4,49.26,8,9,5
"FBgn0001992",29,23,39,20,15,18
"FBgn0001994",3242,3091,6195,4908,2312,2967
"FBgn0001995",672,770.38,513,832,733.83,802.76
"FBgn0002021",841,933,809,888,725,833
"FBgn0002022",997.41,1158.27,2014.33,981.85,942.5,848.07
"FBgn0002023",2,2,0,3,0,0
"FBgn0002031",6974,6248,4401,6431,5303,6065
"FBgn0002036",200.92,208,316.26,230.94,190,176
"FBgn0002044",2367,2486,3634,3117,1967,2177
"FBgn0002069",5556.23,5047.71,4869.94,5459.64,4706.6,4499.52
"FBgn0002121",4478,4803,11610,6306,3540,4259
"FBgn0002174",1917,1749,992,1334,1355,1191
"FBgn0002183",8370,9501,21172,11911,7401,9105
"FBgn0002283",250.23,267.48,192,317.88,205,244.81
"FBgn0002284",4837,5227,3617,6297,5249,6465
"FBgn0002306",29,106,142,67,32,23
"FBgn0002354",173,164,85,167,177,171
"FBgn0002413",7699,7767,16124,9567,6013,6788
"FBgn0002431",13173,13002,26396,16051.45,9636,10691.59
"FBgn0002440",13.28,21.71,37.27,7.01,8.95,8.85
"FBgn0002441",2329.62,2436.85,4627.83,2718.5,1805.28,1803.54
"FBgn0002466",4794.29,5827.65,10098.66,7836.26,4207.23,5534.46
"FBgn0002521",544,618,1491,1076,712,881
"FBgn0002522",4,3,9,4,1,3
"FBgn0002524",1979,1811,2608,2043,1626,1471
"FBgn0002525",8220,9788,14848,11778,7642,9286
"FBgn0002526",85130,84325,168444,63999,39920,41202
"FBgn0002531",3.14,5.61,90.93,45.11,143.2,51.5
"FBgn0002533",20.86,50.39,59.07,125.89,437.8,149.5
"FBgn0002534",194,367,391,169,831,192
"FBgn0002535",81,251,244,111,440,114
"FBgn0002542",2664.29,3258.95,4868.59,3809.08,2548.35,2863.36
"FBgn0002543",3556.22,3612,6043.9,6393.17,3512.79,4207.66
"FBgn0002552",840.96,894,2067,1185,714.55,722
"FBgn0002561",0,2,0,0,0,2
"FBgn0002562",244.12,52.04,1198.8,119435.88,160261.17,224795.85
"FBgn0002563",67039.88,19760.96,30999.2,274777.12,575501.83,404521.15
"FBgn0002564",61457,20666,16414,199408,354097,343291
"FBgn0002565",34.65,23.52,336,98290.39,136332.21,181149.75
"FBgn0002566",1429,1637,3490,1998,1376,1447
"FBgn0002567",326,429,423,265,233,191
"FBgn0002569",0,2,0,0,49,1
"FBgn0002570",3,3,0,2,0,1
"FBgn0002571",0,1,0,2,0,0
"FBgn0002573",0,1,0,0,7,1
"FBgn0002576",1,18,18,7,12,8
"FBgn0002577",2,13,4,2,2,2
"FBgn0002578",1,15,0,11.3,9,3
"FBgn0002579",25689,29091,28733,31923,32312,37206
"FBgn0002590",46962,42024,28623,46639,42211,51112
"FBgn0002592",431,647,684,557,485,584
"FBgn0002593",56727,59002,68528,72919,57015,70457
"FBgn0002609",1627,2432,3057,2214,2156,2187
"FBgn0002622",34250,31940,16019,34949,34678,40537
"FBgn0002626",22696,20376,8293,18722,22926,23490
"FBgn0002629",0,1,0,0,4,1
"FBgn0002631",0,0,0,0,1,1
"FBgn0002632",0,4,0,1,0,2
"FBgn0002633",52,49,52,99,56,119
"FBgn0002638",4214,4088,4328,4023,2909,3365
"FBgn0002641",872,840,1361,1068,815,781
"FBgn0002643",3194,3084,7697,3631,2009,2415
"FBgn0002645",6212,8224,18110,10741,6469,7884
"FBgn0002673",318.32,335.44,705,376.92,254.76,310.9
"FBgn0002707",690.15,728.79,1124.58,1025.16,618.86,728.48
"FBgn0002709",1174.13,1461.8,4145.17,2183.43,1323.7,1315.28
"FBgn0002715",208.6,229.36,299.09,350.63,194.04,241.52
"FBgn0002716",137.97,157.25,346.12,201.74,115.38,147.55
"FBgn0002719",13263,10819,8558,3385,5244,3663
"FBgn0002723",495,456,849,556,324,351
"FBgn0002732",46,96,169,112,77,145
"FBgn0002733",871.97,1475,1205,1082.97,985,1366.95
"FBgn0002734",26,18,20,13,20,20
